input_text,answer
when did the tradition of self government began in america,1783
what is the meaning of shalom in english,peace
which country has the smallest population in europe,Vatican City
who has the biggest airport in the us,Atlanta
who does the voice of mrs. wolowitz on the big bang theory,Carol Ann Susi
where does the saying get out of dodge come from,the drama series Gunsmoke
when will notre dame played michigan state again,2026
who has the most gold gloves at shortstop,Ozzie Smith
who plays the robot maid in richie rich,Brooke Wexler
university of michigan school of public health ranking,#4
when was the immigration act passed in canada,1923
who is the guy on keeping up with the kardashians,Jonathan Cheban
when was catch me if you can made,2002
who used the word physiology for the first time,Jean Fernel
how many dominoes do you need for mexican train,A double-twelve set
what is the filename extension used for all java source files,.java
when was the taj mahal built and completed,1632–53
who is the premier of northern cape 2018,Sylvia Lucas
when was the last time ny rangers won stanley cup,1993–94
when is the last time the new york giants won the super bowl,(2011
who has scored the most half centuries in test cricket,Sachin Tendulkar
who had the longest tenure as moderator on meet the press,Tim Russert
who sings it's my party and i cry if i want to,Lesley Gore
what is the minimum size of a udp datagram,8 bytes
billy ocean when the going gets tough movie,The Jewel of the Nile
when did united states enter world war i,April 1917
who sold out jesus for 30 pieces of silver,Judas Iscariot
who plays jimmy's mom in 8 mile,Kim Basinger
who plays the dad in malcom in the middle,Bryan Cranston
who won the ladies ice skating in the olympics,Alina Zagitova
the length and direction of a straight line between two locations or positions,displacement
converting stereo signal to mono signal is called,Panning
what is the system of government in japan,constitutional monarchy
where is union station in washington dc located,50 Massachusetts Avenue NE
who sings song at the end of beauty and the beast,Josh Groban
super robot monkey team hyperforce go fighting games,Galactic Smash
where did they film the show the crossing,"British Columbia, Canada"
who wrote lord have mercy on the working man,Kostas
in which year was led zepplin refused entry into singapore because the band members had long hair,1972
where does the term pop music come from,Britain
who discovered gold in the sierra nevada of california,James W. Marshall
when was the last time the crows were in the grand final,2017
who plays scrooge mcduck in the new ducktales,David Tennant
state the process that divides one nucleus into two genetically identical nuclei,mitosis
who did kenny rogers sing mary did you know with,Wynonna Judd
which layer of the osi model handles physical addressing,physical layer or layer 1
jawaharlal nehru centre for advanced scientific research jakkur campus,"Jakkur, Bangalore, India"
known as the punk poet who used poetry in their music,John Cooper Clarke
who sang last night on saturday night live,Childish Gambino
who has scored the most points for wales v france,Neil Jenkins
who sings oh what a night late december back in 63,the Four Seasons
puella magi madoka magica when does madoka become a magical girl,My Very Best Friend
ahana from dil sambhal ja zara real name,Smriti Kalra
when was the last year thanksgiving was on the 23rd,2017
what does the air gap do on a dishwasher,backflow prevention
who sings the theme song to all that,TLC
who is often associated with printing the first book using moveable type in germany,Johannes Gutenberg
which is the world's largest company in terms of revenue,Walmart
who was one of the first to chart the course of forgetting over time,Hermann Ebbinghaus
what is the job of the whip in congress,to ensure party discipline
who sang the original scooby doo theme song,Larry Marks
where do red ear slider turtles lay eggs,a hole
when is season 7 race to the edge coming out,"February 16, 2018"
who is darrell brother in the walking dead,Merle Dixon
which mirror is used in vehicles for rear view,rear-view mirror
who did cora marry in once upon a time,Henry
where did the crown of thorns starfish come from,Indo-Pacific
where is the world cup being held 2018,Russia
what features of muscle contraction can be determined from an emg (electromyogram),electric potential generated
what is the minimum dollar amount for federal court,"$75,000"
french film pioneer who introduced newsreel in 1910,Charles Pathé
the victim was asking for it is an example of a,Victim blaming
where does kevins family go in home alone 2,Florida
list all the planet of the ape movies,Planet of the Apes
who won entertainer of the year country music awards,Garth Brooks
when do mr schuester and emma get together,the fourth season
where is final four being held this year,the Alamodome
when was the last time arsenal win premier league,2003–04
who coined the phrase let them eat cake,Jean-Jacques Rousseau
when did russia join the world economic forum,1997
how can you remove the defect of vision presbyopia,Eye glasses
who sang i put a spell on you in hocus pocus,Bette Midler
who was executed for being an american spy during the revolutionary war,Nathan Hale
how many nuclear power plants in washington state,3
what time can you legally buy alcohol in michigan,7 a.m.
when does the 14th season of grey's anatomy come out,"September 28, 2017"
what is the shannara chronicles season 2 based on,The Sword of Shannara Trilogy
where does patience is a virtue come from,"""Psychomachia,"""
when are general elections held in the us,every two to six years
where was the louisiana purchase signed in 1803,Paris
who is the chief economic advisor of india,Arvind Subramanian
how do you spell padawan from star wars,Padawan
who is the minister of youth in namibia,Erastus Utoni
do you cut cards to the left or right,right
how did long john silver lose his leg in treasure island,in the Royal Navy
what is the spelling of lakh in english,lakh
what level is a city and guilds qualification,entry level to level 7
how many seasons has greys anatomy been on tv,14
who is the ceo of crate and barrel,Neela Montgomery
where did the tradition of the pinata come from,treats
who is the head a in pretty little liars,CeCe Drake
how many students does monarch high school have,"2,406"
what is the name of the dragon in eragon,Saphira
who has the most trophies in la liga,Real Madrid
when did we decide to leave the eu,23 June 2016
who issued ashwamedha coins after performing ashvamedha sacrifice,Samudragupta
in which regions are most of africa petroleum and natural gas found,Nigeria
when will miraculous ladybug season 2 episode 12 come out,30 March 2018
who does betty end up with on riverdale,Archie Andrews
what is money as a medium of exchange,fiat money
when was the cleveland browns last winning game,2016
factories that assemble parts made in other countries,special economic zones
the gulf stream the world's fastest ocean current flows along the western side of this water body,Atlantic ocean
when is the last time the jaguars won a playoff game,2017
what is the minimum number of parties required to enter into a deed,two parties
who played cruella de vil in 101 dalmatians,Glenn Close
what genre is the magic tree house books,Children's historical fantasy
where did students for a democratic society start,"Ann Arbor, Michigan"
who was the first black person to register to vote,Thomas Mundy Peterson
where does sex and the city take place,New York City
who explored waters of cuba the bahamas and hispaniola,Christopher Columbus
los angeles stadium at hollywood park opening date,2020
who played raquel in only fools and horses,Tessa Peake-Jones
who does the voice of the beast in the new movie,Dan Stevens
who is known as the super fast boy in the series the icredible,Dashiell Robert Parr / Dash
who was the first signatory of the israeli declaration of independence,David Ben-Gurion
where does arsenic and old lace take place,"Brooklyn, New York"
where can you find convergent boundaries on earth,Mariana Trench
when did fortnite save the world first come out,"July 25, 2017"
what kind of beast is the beast from beauty and the beast,a chimera
when did somewhere over the rainbow come out,1939
when was the chain first used for f1,1978
when was the death penalty reinstated in oregon,1984
who told the story of the prodigal son,Jesus Christ
one piece english dubbed episode 564 release date,"September 16, 2012"
who stepped out of the dithyrambic chorus to become the first actor,Thespis
what is the longest pier in the uk,Southend Pier
where is the tablet of the ten commandments,Ark of the Covenant
do you need a permit or license to own a gun in florida,No
where does cleavage of the peptide bond by chymotrypsin occur,digestive systems
when does the nba season end this year,"April 11, 2018"
malcom in the middle season 1 episode 3,Home Alone 4
when was the time the eagles won the superbowl,2017
who named all the animals in the world,Adam
who played caesar in planet of the apes war,Andy Serkis
who abandoned traditional harmony and created the twelve-tone system for composition,Arnold Schoenberg
where does the band imagine dragons come from,"Las Vegas, Nevada"
who wrote the country song i can only imagine,Bart Millard
where does the water come from to fill lake eyre,Warburton River
who won nfl football coach of the year,Sean McVay
who played the virgin in conan the destroyer,Olivia d'Abo
when did the black death end in england,December 1349
when boy meets girl waiting for a star to fall,1988
christmas though a christian holiday began as a celebration of,the winter solstice
who changed the role of the first lady,Dolley Madison
who was the declaration of independence written for,the Second Continental Congress
who played susanna in legends of the fall,Julia Ormond
who was the voice of templeton in charlotte's web,Paul Lynde
the actual name of the confederate force at gettysburg was,Confederate States Army
new anime from the creators of attack on titan,Vinland Saga
where was gunsmoke to the last man filmed,"Tucson, Arizona"
who represents the arizona 9th district in the house,Kyrsten Sinema
this type of nuclear decay effectively turns a proton into a neutron,beta decay
who drove the number 18 car in nascar,Kyle Busch
what is the first covenant in the old testament,the Noahic Covenant
where does aarp fall on the political spectrum,non-partisan
when did the united states acquired puerto rico,1898
who's the original singer of help me make it through the night,Kris Kristofferson
nodding your head no is an example of,a gesture
what kind of book is where's waldo,puzzle
when is beyblade burst super z coming out,"April 2, 2018"
who plays the bad guy in the good place,Ted Danson
most polluted city in the world according to world health organization,Zabol
south african tree with thorns on the trunk,silk floss tree
when was the jury system abolished in india,1959
who plays the coach in old spice commercial,Isaiah Amir Mustafa
where did hope on bold and beautiful go,"Milan, Italy"
who sang the national anthem at the 2002 super bowl,Mariah Carey
who played sonny in lemony snicket's a series of unfortunate events,Presley Smith
when did the dust bowl end in oklahoma,1940
how does the cash cab guy read the questions,walkie-talkie and earpiece
who did the music for your lie in april,Masaru Yokoyama
what are the value of style guides and style sheet,improve communication
where are unipolar neurons found in spinal cord,the distal dorsal root
what was the date of the signing of the declaration of independence,"August 2, 1776"
who signed the largest on the declaration of independence,John Hancock
when do liam and annie get together season 3,Holiday Madness
tujhe dekha toh yeh jana sanam movie name,Dilwale Dulhania Le Jayenge
where do they film young and the restless,CBS Television City
new mexico was admitted to the union as the . . . state,47th
what episode does marnie come back in geordie shore,5
who makes the decisions about what to produce in a market economy,capital and financial markets
who did the dominican republic gain its independence from,Haiti
who played little ricky on i love lucy show,Keith Thibodeaux
who sang with eternal on i wanna be the only one,BeBe Winans
where is most of the worlds gold held,United States
what is a home run with a girl,"""full"" sexual intercourse"
when was the last time tug-of-war was an official olympic sport,1920
who is the founder of el pollo loco,Juan Francisco Ochoa
who plays dawn on nicky ricky dicky and dawn,Lizzy Greene
what is the central idea of the poem the rime of ancient mariner,a violation of nature
who is rose in the fall season 2,Valene Kane
who plays the judge in drop dead diva,Lex Medlin
why is the indian ocean the warmest in the world,human induced greenhouse warming
when did michael jordan get his last ring,1998
who sings blame it on the bossa nova,Eydie Gormé
who do the characters represent in 8 mile,loosely on Eminem
when was the last time there was a school shooting in canada,"January 22, 2016"
when was the last time.michigan beat ohio state,2011
when does the stock market open in hong kong,9:15:00
who does the vocals for feel it still,Portugal. The Man
ben 10 ultimate alien episode 2 season 1,Duped
where does florida natural orange juice come from,"Lake Wales, Florida"
when is the new dumping ground coming out 2017,15 December 2017
when did the first pair of yeezys come out,"February 14, 2015"
when was the tower of london finished being built,1078
who decides the number of judges in the high court,the President of India
who is the secretary of state for northern ireland,Karen Bradley
what is the third book in the lunar chronicles,Cress
who plays the mother of howard on big bang theory,Carol Ann Susi
what makes a mini bike a mini bike,a miniature motorcycle
which british city is farthest from the sea,Coton in the Elms
what mall did they use in back to the future,Puente Hills Mall
turkey stuffed with a duck stuffed with a chicken,Turducken
when was the last summer olympics in the usa,1996
oklahoma's 10 geographic regions are defined by surface features called,ecological regions
who won the 2017 ncaa mens basketball tournament,North Carolina
what is the value of the currency in paraguay,126 PYG to 1 USD
who will take the throne after the queen dies,"Charles, Prince of Wales"
what domain has more individuals than all other domains combined do,the com TLD
what is the meaning of the name comanche,enemy
